Library,Language,Category
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.ListLinkedNotificationsRequest,Java,Networking and Messaging
com.ibm.cloud.objectstorage.services.s3.AmazonS3ClientBuilder,Scala,Networking and Messaging
java.util.stream.Collectors,Java,Algorithms and Data Structures
com.ibm.cloud.cloudant.v1.Cloudant,Java,Database Management
ncclient,Python,Networking and Messaging
psdi.mbo.MboServerInterface,Java,Database Management
com.ibm.eicore.std.dto.StandardNodeDto,Java,Data Serialization
gi,Python,Graphical User Interface Design
java.io.BufferedInputStream,Java,File Handling
Windows.h,C++,File Handling
com.ibm.maximo.servicerequest.testcases.TestSuite,Java,Testing
ldap,Python,Networking and Messaging
serde::{Deserialize,Rust,Data Serialization
com.ibm.services.tools.marketplace.model.dao.ManageAssignmentsDAO,Java,Data Analysis
com.ibm.clearinghouse.data.model.DocType,Java,Database Management
com.ibm.eicore.boi.dto.ItemEngRevDto,Java,Data Serialization
ast,Python,Code Analysis and Linting
com.ibm.json.java.JSONArray,Java,Data Serialization
datatypes.annotations.dp.DPVersionInfo,Java,Data Analysis
com.ibm.rdm.monitoring.counter.ICounter.Unit,Java,Data Analysis
psdi.test.FastUnitTestBase,Java,Testing
io.openliberty.jpa.data.tests.models.Rating,Java,Data Serialization
org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTest,Java,Testing
react-dom,JavaScript,Graphical User Interface Design
datatypes.velox.objects.VeloxCatalog,Java,Data Serialization
br.com.bb.juridico.api.v1.dto.RegistroParsedDto,Java,Data Serialization
com.ibm.services.tools.marketplace.model.vo.SavedSearchVO,Java,Data Analysis
java.net.URL,Java,Networking and Messaging
org.w3c.dom.NodeList,Java,Data Serialization
io.openliberty.jpa.data.tests.models.Item,Java,Database Management
psdi.mbo.MboSet,Java,Database Management
sqludf.h,C,Database Management
java.sql.DriverManager,Java,Database Management
log::{debug,Rust,Logging and Monitoring
org.apache.commons.lang3.StringUtils,Java,Algorithms and Data Structures
sqlite3,Python,Database Management
bdd.common.ScenarioContext,Java,Testing
tasks.validation.Verify,Java,Testing
termcolor,Python,Logging and Monitoring
com.ibm.rdm.fronting.server.services.types.IProjectTypeSystem,Java,Code Analysis and Linting
./fetchLocalBuildInfo,JavaScript,File Handling
output,Python,File Handling
com.ibm.wcaz.higher.kind.Reader,Java,File Handling
com.ibm.eicore.framework.service.MessageSourceService,Java,Networking and Messaging
cdm.H,C++,Algorithms and Data Structures
pyqtgraph,Python,Graphical User Interface Design
org.mockito.MockitoAnnotations,Java,Testing
org.apache.poi.xssf.usermodel.XSSFRow,Java,File Handling
print_it_for_query.h,C++,File Handling
org.jdom2.Element,Java,Data Serialization
minio,Python,File Handling
appium,Python,Testing
io.openliberty.jpa.data.tests.models.NaturalNumber,Java,Mathematics and Numerics
com.q1labs.semsources.sources.estreamer.message.errormsg.ErrorMessage,Java,Logging and Monitoring
System.Data,C#,Database Management
tasks.validation.AssertEx,Java,Testing
com.google.common.base.Strings,Java,Algorithms and Data Structures
java.math.BigDecimal,Java,Mathematics and Numerics
org.apache.logging.log4j.Level,Java,Logging and Monitoring
pytest_testrail,Python,Testing
unistd.h,C,File Handling
io.openliberty.jpa.data.tests.models.Line.Point,Java,Mathematics and Numerics
org.eclipse.jdt.core.dom.VariableDeclarationExpression,Java,Code Analysis and Linting
com.fasterxml.jackson.databind.deser.std.StdDeserializer,Java,Data Serialization
Metastore.h,C++,File Handling
std::ffi::{CStr,Rust,Data Serialization
com.q1labs.semsources.sources.estreamer.message.datamsg.EventDataMessage,Java,Data Serialization
com.ibm.eicore.boi.dto.ItemMfgRevXmlDto,Java,Data Serialization
br.com.bb.juridico.api.v1.dto.DocDto,Java,Data Serialization
com.samsung.sec.dexter.core.config.DexterConfig,Java,Code Analysis and Linting
javax.xml.soap.SOAPPart,Java,Networking and Messaging
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.LinkNotificationResponse,Java,Networking and Messaging
org.apache.http.impl.client.HttpClientBuilder,Java,Networking and Messaging
com.ibm.eicore.common.enums.GeneralItemType,Java,Data Serialization
com.vmturbo.common.protobuf.workflow.WorkflowDTO.FetchWorkflowResponse,Java,Data Serialization
kafka,Python,Networking and Messaging
com.ibm.ecm.extension.PluginLogger,Java,Logging and Monitoring
org.springframework.boot.test.context.SpringBootTest,Java,Testing
java.awt.*,Java,Graphical User Interface Design
org.apache.commons.csv.CSVFormat,Java,File Handling
img2pdf,Python,File Handling
org.apache.http.util.EntityUtils,Java,Networking and Messaging
psdi.util.logging.MXLoggerFactory,Java,Logging and Monitoring
javax.xml.soap.SOAPFactory,Java,Networking and Messaging
java.util.Optional,Java,Algorithms and Data Structures
types.h,C++,File Handling
turtle,Python,Graphical User Interface Design
com.ibm.rdm.fronting.server.services.reqif.diagnostics.ReqIFDiagnosticOperation,Java,Code Analysis and Linting
net.iss.mss.ai.client.qradarRest.arg.QradarUpdateActions,Java,Security
io.openliberty.jpa.data.tests.models.City,Java,Data Serialization
org.apache.axiom.om.OMDocument,Java,Data Serialization
com.yantra.interop.japi.YIFApi,Java,Networking and Messaging
java.util.HashSet,Java,Algorithms and Data Structures
java.security.SecureRandom,Java,Security
@testing-library/react,JavaScript,Testing
optional,C++,Algorithms and Data Structures
string,C++,Algorithms and Data Structures
datatypes.annotations.velox.VeloxDraftProduct,Java,Data Serialization
application.dto.DeviceTypeDto,Java,Data Serialization
org.apache.arrow.flight.*,Java,Networking and Messaging
io.openliberty.jpa.data.tests.models.Business,Java,Data Serialization
shutil,Python,File Handling
com.ibm.maximo.servicerequest.framework.ServiceRequestTest,Java,Testing
http,Python,Networking and Messaging
io.grpc.Status,Java,Networking and Messaging
com.google.common.collect.ImmutableSet,Java,Algorithms and Data Structures
Purger.h,C++,File Handling
io.openliberty.jpa.data.tests.models.Prime,Java,Mathematics and Numerics
com.ibm.eicore.common.dto.ApplicationMessageDto,Java,Networking and Messaging
org.apache.axis2.client.Options,Java,Networking and Messaging
com.ibm.rdm.fronting.server.common.reqif.Identifiable,Java,Data Serialization
pickle,Python,Data Serialization
datatypes.annotations.velox.VeloxInfo,Java,Data Serialization
com.ibm.rdm.fronting.server.services.vvc.QueryScopeParameters,Java,Networking and Messaging
react-testing-library,JavaScript,Testing
datatypes.annotations.velox.VeloxApiInfo,Java,Data Serialization
com.fasterxml.jackson.core.JsonProcessingException,Java,Data Serialization
metadata_internal.h,C++,File Handling
sinon-chai,JavaScript,Testing
jakarta.persistence.PersistenceException,Java,Database Management
org.openqa.selenium.chrome.ChromeDriver,Java,Testing
com.vodafone.cbox.logdigger.entities.FileToProcess,Java,Logging and Monitoring
org.json.JSONObject,Java,Data Serialization
cstring,C++,Algorithms and Data Structures
org.apache.poi.xssf.usermodel.XSSFSheet,Java,File Handling
com.q1labs.semsources.sources.estreamer.exception.DataMessageRecordTypeNotSupportedException,Java,Logging and Monitoring
com.yantra.yfc.dom.YFCElement,Java,Data Serialization
org.apache.velocity.VelocityContext,Java,Data Serialization
datatypes.annotations.velox.VeloxCMCInfo,Java,Data Serialization
com.informatica.powercenter.domain.table.TableInfo,Java,Database Management
chai,JavaScript,Testing
org.junit.Ignore,Java,Testing
jakarta.persistence.PersistenceContext,Java,Database Management
select,Python,File Handling
com.q1labs.frameworks.logging.ILogger,Java,Logging and Monitoring
org.testng.annotations.Parameters,Java,Testing
io.openliberty.jpa.data.tests.models.Product,Java,Data Serialization
lwgw_manifest::{manifest::Manifest,Rust,Data Serialization
datatypes.velox.objects.VeloxConsumerOrganization,Java,Data Serialization
org.apache.http.client.HttpClient,Java,Networking and Messaging
java.util.Objects,Java,Algorithms and Data Structures
org.junit.jupiter.api.AfterAll,Java,Testing
java.sql.SQLException,Java,Database Management
javax.xml.soap.SOAPMessage,Java,Networking and Messaging
smtplib,Python,Networking and Messaging
../data_transfer_objects/exampleDTO.js,JavaScript,Data Serialization
PyQt5,Python,Graphical User Interface Design
org.mockito.Mockito,Java,Testing
com.q1labs.semsources.sources.estreamer.message.extendedrequestmsg.StreamingServiceRequest,Java,Networking and Messaging
com.fasterxml.jackson.core.JsonParseException,Java,Data Serialization
stream,TypeScript,Networking and Messaging
datatypes.annotations.velox.Application,Java,Data Serialization
com.yantra.shared.ycp.YFSContext,Java,Networking and Messaging
getpass,Python,Security
com.ibm.eicore.boi.dto.DerivedItemEngRelationDto,Java,Data Serialization
com.ibm.wcaz.testing.evaluators.exceptions.TopLevelLocalVariablesMismatchException,Java,Code Analysis and Linting
hvac,Python,Security
java.sql.Connection,Java,Database Management
flask_jwt_extended,Python,Security
org.springframework.test.web.servlet.MockMvc,Java,Testing
slack,Python,Networking and Messaging
com.ibm.rdm.fronting.server.services.uid.AlternateIDService,Java,Networking and Messaging
java.util.regex.Pattern,Java,Algorithms and Data Structures
db2ApiDf.h,C,Database Management
pptx,Python,File Handling
com.ibm.rdm.fronting.server.services.uid.IAlternateIDImportMapping,Java,Networking and Messaging
bdd.airlineService.AirlineServicesConstants,Java,Networking and Messaging
tasks.velox.VeloxOrganizationRestManager,Java,Scheduling and Concurrency
java.util.stream.Collector,Java,Algorithms and Data Structures
xml,Python,File Handling
jni.h,C++,File Handling
javax.net.ssl.SSLHandshakeException,Java,Security
fcntl.h,C++,File Handling
javax.naming.Context,Java,Networking and Messaging
rocksdb/cloud/cloud_storage_provider.h,C++,Database Management
com.revature.models.Passenger,Java,Data Serialization
javax.xml.rpc.handler.soap.SOAPMessageContext,Java,Networking and Messaging
@material-ui/core,JavaScript,Graphical User Interface Design
com.udacity.jdnd.course3.critter.entity.Customer,Java,Data Serialization
pymilvus,Python,Database Management
org.apache.poi.ss.usermodel.Cell,Java,File Handling
javax.ws.rs.container.ContainerRequestFilter,Java,Networking and Messaging
plotly,Python,Graphical User Interface Design
@vue/test-utils,JavaScript,Testing
io.openliberty.jpa.data.tests.models.DemographicInfo,Java,Data Serialization
org.w3c.dom.Document,Java,Data Serialization
io.openliberty.jpa.data.tests.models.Rebate.Status,Java,Data Serialization
psycopg2,Python,Database Management
org.apache.iceberg.types.Types,Java,Data Serialization
sys/shm.h,C,File Handling
org.apache.commons.csv.QuoteMode,Java,File Handling
org.apache.arrow.vector.BigIntVector,Java,Data Serialization
com.ibm.rdm.monitoring.counter.LongCounter,Java,Logging and Monitoring
ruamel,Python,Data Serialization
@ant-design/icons,JavaScript,Graphical User Interface Design
Data::Dumper,Perl,Data Serialization
javax.persistence.GenerationType,Java,Database Management
io.openliberty.jpa.data.tests.models.Account,Java,Data Serialization
com.vmturbo.system.notifications.SystemNotificationsServiceGrpc.SystemNotificationsServiceImplBase,Java,Networking and Messaging
lxml,Python,Data Serialization
java.math.RoundingMode,Java,Mathematics and Numerics
flask_socketio,Python,Networking and Messaging
com.ibm.component.MenuItem,Java,Graphical User Interface Design
com.q1labs.semsources.sources.estreamer.exception.EstreamerEOFException,Java,Logging and Monitoring
org.apache.iceberg.PartitionField,Java,Data Serialization
tasks.dp.DPStatusTask,Java,Scheduling and Concurrency
com.fasterxml.jackson.databind.node.MissingNode,Java,Data Serialization
com.udacity.jdnd.course3.critter.entity.Employee,Java,Data Serialization
com.ibm.eicore.std.dto.StandardStructureDto,Java,Data Serialization
tasks.client.HTTPSClient,Java,Networking and Messaging
macros::MemberLog,Perl,Logging and Monitoring
statsmodels,Python,Mathematics and Numerics
io.grpc.stub.StreamObserver,Java,Networking and Messaging
org.springframework.test.annotation.DirtiesContext,Java,Testing
Test::More,Perl,Testing
javax.xml.stream.XMLInputFactory,Java,File Handling
io.openliberty.jpa.data.tests.models.Person,Java,Data Serialization
datatypes.annotations.velox.ConsumerOrg,Java,Data Serialization
com.ibm.eicore.boi.dto.BomExportFileDto,Java,Data Serialization
org.apache.axis2.client.ServiceClient,Java,Networking and Messaging
com.today.entity.User,Java,Data Serialization
com.yantra.yfc.dom.YFCDocument,Java,Data Serialization
org.springframework.test.context.junit4.SpringRunner,Java,Testing
./log-password-scanner.js,JavaScript,Security
componenttest.app.FATServlet,Java,Testing
com.ibm.eicore.boi.dto.ItemDto,Java,Data Serialization
io.openliberty.jpa.data.tests.models.AsciiCharacter,Java,Data Serialization
codecs,Python,Data Serialization
supertest,TypeScript,Testing
org.springframework.boot.test.mock.mockito.MockBean,Java,Testing
br.com.bb.juridico.util.properties.TabelaDominiosProperties,Java,File Handling
com.ibm.tivoli.maximo.skd.service.SKDMAPInputParamInfo,Java,Scheduling and Concurrency
org.springframework.expression.spel.standard.SpelExpressionParser,Java,Code Analysis and Linting
com.samsung.sec.dexter.eclipse.ui.view.DescriptionPanel,Java,Graphical User Interface Design
ibm_key_protect_api_v2,Python,Security
com.ibm.eicore.util.csv.CSVStreamingResponseBody,Java,File Handling
com.fasterxml.jackson.databind.DeserializationContext,Java,Data Serialization
std::process,Rust,Scheduling and Concurrency
chai-as-promised,JavaScript,Testing
io.openliberty.jpa.data.tests.models.Package,Java,Data Serialization
panos,Python,Networking and Messaging
io.openliberty.jpa.data.tests.models.Rebate,Java,Data Serialization
org.apache.arrow.vector.types.pojo.FieldType,Java,Data Serialization
xmlManagement.ExportFormat,Java,File Handling
org.apache.axiom.om.OMFactory,Java,Data Serialization
@carbon/react,JavaScript,Graphical User Interface Design
org.testng.ITestResult,Java,Testing
javax.xml.soap.SOAPHeader,Java,Networking and Messaging
tasks.client.SSHClient,Java,Networking and Messaging
posixpath,Python,File Handling
javax.annotation.Nonnull,Java,Code Analysis and Linting
DBD::ODBC,Perl,Database Management
datatypes.velox.objects.VeloxApplication,Java,Data Serialization
org.powermock.modules.junit4.PowerMockRunner,Java,Testing
sqlto.h,C++,File Handling
com.ibm.eicore.common.enums.ApplicationItemType,Java,Data Serialization
variant,C++,Algorithms and Data Structures
com.ibm.component.DropDownComponent,Java,Graphical User Interface Design
org.powermock.core.classloader.annotations.PrepareForTest,Java,Testing
Components/ModifiedCarbonComps,JavaScript,Graphical User Interface Design
psdi.util.MXSystemException,Java,Logging and Monitoring
org.jsoup.nodes.Element,Java,Data Serialization
dev.galasa.zos3270.IZos3270,Java,Networking and Messaging
com.example.demo.service.EmployeeService,Java,Data Serialization
com.vodafone.cbox.logdigger.repositories.FileToProcessRepository,Java,Logging and Monitoring
com.ibm.rdm.monitoring.counter.ICounterService,Java,Logging and Monitoring
stack,C++,Algorithms and Data Structures
monitor,Python,Logging and Monitoring
DBI,Perl,Database Management
requests2,Python,Networking and Messaging
componenttest.annotation.SkipIfSysProp,Java,Testing
sys/ipc.h,C,File Handling
com.yantra.interop.japi.YIFClientFactory,Java,Networking and Messaging
com.ibm.wcaz.orchestrator.model.MappingClassMember,Java,Data Serialization
javax.xml.rpc.handler.MessageContext,Java,Networking and Messaging
datatypes.system.RemoteSystem,Java,Networking and Messaging
com.ibm.rdm.fronting.server.common.reqif.Specification,Java,Data Serialization
com.ibm.json.java.JSONObject,Java,Data Serialization
net.iss.mss.core.services.entity.Device,Java,Data Serialization
pytest_timeout,Python,Testing
com.ibm.eicore.lsm.dto.LessonItemRelationDto,Java,Data Serialization
zos/ostypes.h,C,File Handling
javax.naming.NamingException,Java,Networking and Messaging
snowflake_connector_python,Python,Database Management
com.ibm.maximo.automation.mobile.FrameworkFactory,Java,Graphical User Interface Design
fcntl.h,C,File Handling
jakarta.persistence.LockModeType,Java,Database Management
com.ibm.wcaz.testing.evaluators.exceptions.LocalVariablesMismatchException,Java,Code Analysis and Linting
@/components/Counter.vue,JavaScript,Graphical User Interface Design
javax.persistence.Id,Java,Database Management
jakarta.transaction.RollbackException,Java,Database Management
com.ibm.rdm.fronting.server.common.reqif.SpecHierarchy,Java,Data Serialization
java.sql.ResultSetMetaData,Java,Database Management
com.ibm.ecm.extension.aspera.faspex.util.LogUtils,Java,Logging and Monitoring
java.util.concurrent.atomic.AtomicLong,Java,Algorithms and Data Structures
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.ListLinkedNotificationsResponse,Java,Networking and Messaging
org.springframework.transaction.annotation.Transactional,Java,Database Management
org.apache.arrow.memory.RootAllocator,Java,Data Serialization
io.openliberty.jpa.data.tests.models.Segment,Java,Data Serialization
datatypes.annotations.apic.APIMVersionInfo,Java,Data Serialization
datatypes.annotations.velox.VeloxOrganizationInfo,Java,Data Serialization
ibm_db,Python,Database Management
datatypes.annotations.velox.VeloxCatalogInfo,Java,Data Serialization
psdi.security.UserInfo,Java,Security
com.google.gson.Gson,Java,Data Serialization
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.UnlinkNotificationResponse,Java,Networking and Messaging
org.junit.jupiter.api.BeforeAll,Java,Testing
com.yantra.yfc.log.YFCLogCategory,Java,Logging and Monitoring
sqlca.h,C,Database Management
onepassword_keyring,Python,Security
org.apache.axiom.om.OMElement,Java,Data Serialization
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.UnlinkNotificationRequest,Java,Networking and Messaging
aiohttp,Python,Networking and Messaging
ObjectIndexWrapper.h,Cpp,Algorithms and Data Structures
com.ibm.clearinghouse.data.model.LockableDocument,Java,Data Serialization
java.sql.*,Java,Database Management
java.applet.*,Java,Graphical User Interface Design
com.informatica.powercenter.SchedulerServiceConstants,Java,Scheduling and Concurrency
System.Security.Cryptography,CSharp,Security
org.openqa.selenium.WebDriver,Java,Testing
com.fasterxml.jackson.databind.DeserializationFeature,Java,Data Serialization
std::{fs::File,Rust,File Handling
javax.xml.rpc.handler.HandlerInfo,Java,Networking and Messaging
java.util.Optional,Java,Algorithms and Data Structures
com.q1labs.semsources.sources.estreamer.exception.EstreamerAuthenticationException,Java,Logging and Monitoring
datatypes.velox.enums.VeloxTestType,Java,Testing
jsonschema,Python,Data Serialization
com.ibm.rdm.fronting.server.services.reqif.diagnostics.ReqIFDiagnosticOperationResult.DiagnosticResultType,Java,Data Serialization
sinon,JavaScript,Testing
com.ibm.ife.service.logging.IFELogger,Java,Logging and Monitoring
com.ibm.maximo.automation.mobile.common.AppSwitcher,Java,Graphical User Interface Design
keyring,Python,Security
javax.xml.soap.SOAPEnvelope,Java,Networking and Messaging
assert_macros.h,Cpp,Algorithms and Data Structures
alive_progress,Python,Graphical User Interface Design
javax.sql.DataSource,Java,Database Management
com.samsung.sec.dexter.eclipse.ui.view.OccurenceAndChangingsView,Java,Code Analysis and Linting
javax.ws.rs.core.MediaType,Java,Networking and Messaging
psdi.util.MockedUTUtils,Java,Testing
com.yantra.ycp.core.YCPContext,Java,Data Serialization
org.jsoup.nodes.Document,Java,Data Serialization
com.q1labs.semsources.sources.estreamer.message.extendedrequestmsg.StreamingInformationMessage,Java,Networking and Messaging
org.apache.logging.log4j.core.config.Configurator,Java,Logging and Monitoring
com.ibm.osr.common.OSRLogger,Java,Logging and Monitoring
javax.xml.stream.XMLStreamException,Java,File Handling
com.ibm.eicore.common.enums.PermissionType,Java,Data Serialization
javax.persistence.GeneratedValue,Java,Database Management
org.apache.logging.log4j.LogManager,Java,Logging and Monitoring
pyautogui,Python,Graphical User Interface Design
std::fs,Rust,File Handling
com.example.myapp.model.Question,Java,Data Serialization
com.ibm.eicore.common.util.ApplicationMessageDtoUtil,Java,Data Serialization
ns1,Python,Networking and Messaging
org.springframework.test.context.ActiveProfiles,Java,Testing
resilient,Python,Networking and Messaging
reactor.util.retry.RetryBackoffSpec,Java,Networking and Messaging
org.apache.commons.csv.CSVPrinter,Java,File Handling
./test/AppTestStub,JavaScript,Testing
wo_archer,Python,Security
multiprocessing,Python,Scheduling and Concurrency
com.ibm.eicore.std.dto.SnnLabelDto,Java,Data Serialization
diagnostics,Perl,Logging and Monitoring
io.openliberty.jpa.data.tests.models.AccountId,Java,Data Serialization
com.ibm.cloud.sdk.core.security.Authenticator,Scala,Security
com.ibm.eicore.accesscontrolcode.dto.AccessControlCodeDto,Java,Security
psdi.server.MaximoThread,Java,Scheduling and Concurrency
org.testng.annotations.AfterMethod,Java,Testing
psdi.util.logging.MXLogger,Java,Logging and Monitoring
psdi.security.UserInfoMocker,Java,Testing
com.ibm.maximo.automation.mobile.common.AppSwitcher.App,Java,Graphical User Interface Design
datatypes.system.Environment,Java,Data Serialization
com.ibm.rdm.fronting.server.services.RRCConstants,Java,Networking and Messaging
javax.naming.InitialContext,Java,Networking and Messaging
com.depfa.core.security.JasyptUtility,Java,Security
sqlite3,JavaScript,Database Management
xmltodict,Python,Data Serialization
tasks.client.HTTPClient,Java,Networking and Messaging
com.ibm.grc.resmgr.repository.StringHelper,Java,Data Serialization
org.apache.axis2.addressing.EndpointReference,Java,Networking and Messaging
com.ibm.rdm.fronting.server.Activator,Java,Networking and Messaging
datatypes.annotations.velox.VeloxPublishProduct,Java,Data Serialization
com.informatica.powercenter.domain.sqljob.SQLZ_BIG_SQL_SCHEDULER_SCAN_ID,Java,Scheduling and Concurrency
fvt_comm.h,C,File Handling
./test/defectdata,JavaScript,Testing
aiolib,Python,Networking and Messaging
com.saa.auth.model.Authority,Java,Security
concurrent,Python,Scheduling and Concurrency
com.ibm.grc.resmgr.repository.DataPersistenceOperations,Java,Database Management
tarfile,Python,File Handling
java.util.Scanner,Java,File Handling
io.openliberty.jpa.data.tests.models.PurchaseOrder,Java,Data Serialization
org.json.JSONArray,Java,Data Serialization
com.ibm.eicore.boi.dto.ItemXmlDto,Java,Data Serialization
tasks.dp.SOMAClient,Java,Networking and Messaging
reactor.util.retry.Retry,Java,Networking and Messaging
org.jdom2.output.Format,Java,File Handling
io.openliberty.jpa.data.tests.models.Coordinate,Java,Data Serialization
org.springframework.expression.spel.support.StandardEvaluationContext,Java,Code Analysis and Linting
../../../fixtures/test,TypeScript,Testing
java.io.DataInputStream,Java,File Handling
amqrriha.h,C,File Handling
java.math.BigInteger,Java,Mathematics and Numerics
java.rmi.RemoteException,Java,Networking and Messaging
net.iss.mss.ai.client.qradarRest.arg.QradarOffenseUpdateArg,Java,Networking and Messaging
org.apache.http.HttpResponse,Java,Networking and Messaging
org.w3c.dom.Element,Java,Data Serialization
com.udacity.jdnd.course3.critter.entity.Schedule,Java,Scheduling and Concurrency
org.eclipse.jdt.core.dom.SimpleName,Java,Code Analysis and Linting
com.fasterxml.jackson.module.paramnames.ParameterNamesModule,Java,Data Serialization
org.apache.axiom.om.OMAbstractFactory,Java,Data Serialization
binascii,Python,Data Serialization
org.mockito.ArgumentCaptor,Java,Testing
database,Python,Database Management
main_window,Python,Graphical User Interface Design
unistd.h,Cpp,File Handling
io.openliberty.jpa.data.tests.models.Box,Java,Data Serialization
org.apache.poi.xssf.usermodel.XSSFCellStyle,Java,File Handling
org.apache.http.client.methods.HttpPost,Java,Networking and Messaging
UnityEngine,CSharp,Graphical User Interface Design
org.apache.poi.xssf.usermodel.XSSFCell,Java,File Handling
psdi.server.MXServer,Java,Scheduling and Concurrency
org.junit.jupiter.api.BeforeEach,Java,Testing
java.io.FileReader,Java,File Handling
com.q1labs.semsources.sources.estreamer.message.IEstreamerMessage,Java,Networking and Messaging
rdma/rdma_verbs.h,C,Networking and Messaging
io.openliberty.jpa.data.tests.models.Triangle,Java,Data Serialization
java.util.concurrent.Callable,Java,Scheduling and Concurrency
io.openliberty.jpa.data.tests.models.Line,Java,Data Serialization
datatypes.http.HttpBean,Java,Networking and Messaging
com.ibm.eicore.boi.dto.ItemEngRevXmlDto,Java,Data Serialization
Config::Simple,Perl,File Handling
jwt,Python,Security
Shard_impl.h,Cpp,Algorithms and Data Structures
org.apache.axiom.om.impl.builder.StAXOMBuilder,Java,File Handling
com.ibm.eicore.boi.dto.InventorItemDto,Java,Data Serialization
tasks.tcsupport.velox.VeloxTestBase,Java,Testing
com.ibm.rdm.fronting.server.services.reqif.diagnostics.ReqIFDiagnosticResultParameter,Java,Testing
tasks.tcsupport.dp.DPTestBase,Java,Testing
datatypes.velox.enums.VeloxFormFactor,Java,Data Serialization
datatypes.velox.objects.VeloxProduct,Java,Data Serialization
ftplib,Python,Networking and Messaging
jsonwebtoken::{decode,Rust,Security
com.ibm.mobilefirstplatform.appid.utils.TestTag,Java,Testing
gtest/gtest.h,Cpp,Testing
com.ibm.maximo.automation.mobile.AbstractAutomationFramework,Java,Testing
com.saa.auth.model.Role,Java,Security
com.samsung.sec.dexter.eclipse.ui.util.EclipseUtil,Java,Code Analysis and Linting
RocksdbUtils.h,Cpp,Database Management
java.io.*,Java,File Handling
../persistence/instanceDB.js,JavaScript,Database Management
assertpy,Python,Testing
jakarta.transaction.UserTransaction,Java,Database Management
com.ibm.cloud.sdk.core.security.IamAuthenticator,Scala,Security
org.w3c.dom.Node,Java,Data Serialization
com.example.demo.model.Employee,Java,Data Serialization
org.apache.logging.log4j.Logger,Java,Logging and Monitoring
System.Data.SqlClient,CSharp,Database Management
org.powermock.api.mockito.PowerMockito,Java,Testing
org.eclipse.jdt.core.dom.MethodDeclaration,Java,Code Analysis and Linting
com.samsung.sec.dexter.eclipse.ui.view.FunctionMetricsView,Java,Code Analysis and Linting
com.ibm.grc.resmgr.dynamo.GrcDynamoDBManager,Java,Database Management
org.eclipse.jdt.core.dom.ASTVisitor,Java,Code Analysis and Linting
com.q1labs.semsources.sources.estreamer.message.EstreamerMessageType,Java,Networking and Messaging
com.ibm.rdm.fronting.server.common.jena.core.RRMReqIF,Java,Data Serialization
react-virtualized-auto-sizer,JavaScript,Graphical User Interface Design
xmlManagement.Response.Import,Java,File Handling
org.apache.arrow.vector.VectorSchemaRoot,Java,Data Serialization
curses,Python,Graphical User Interface Design
openssl/hmac.h,C,Security
acutest.h,C,Testing
org.apache.arrow.memory.BufferAllocator,Java,Data Serialization
org.junit.jupiter.api.AfterEach,Java,Testing
datatypes.velox.objects.VeloxProviderOrganization,Java,Data Serialization
datatypes.annotations.apic.ValidVersionInfo,Java,Data Serialization
com.ibm.rdm.fronting.server.common.reqif.ReqIfPackage,Java,File Handling
org.jdom2.Document,Java,Data Serialization
com.ibm.eicore.boi.service.EBomCreateService,Java,File Handling
org.openqa.selenium.JavascriptExecutor,Java,Testing
org.apache.arrow.vector.types.pojo.Schema,Java,Data Serialization
org.springframework.boot.test.autoconfigure.web.servlet.WebMvcTest,Java,Testing
com.ibm.eicore.boi.service.BomExportService,Java,File Handling
com.ibm.eicore.boi.dto.ItemStructureEngXmlDto,Java,Data Serialization
com.hp.hpl.jena.rdf.model.Resource,Java,Data Serialization
carbon-addons-iot-react,JavaScript,Graphical User Interface Design
db2.h,C,Database Management
datatypes.annotations.velox.VeloxDraftApi,Java,Data Serialization
io.openliberty.jpa.data.tests.models.CityId,Java,Data Serialization
com.ibm.rdm.fronting.server.services.uid.MappingValue,Java,Data Serialization
base64::{Engine,Rust,Data Serialization
com.yantra.yfs.core.YFSSystem,Java,Database Management
jakarta.persistence.EntityManager,Java,Database Management
com.ibm.rdm.fronting.server.services.vvc.IJAFConfigurationManagementService,Java,Networking and Messaging
java.util.Base64,Java,Data Serialization
dump_file_support,Python,File Handling
requests_futures,Python,Networking and Messaging
org.openqa.selenium.support.ui.WebDriverWait,Java,Testing
com.saa.auth.dto.UserIdDTO,Java,Data Serialization
org.apache.axis2.transport.http.impl.httpclient3.HttpTransportPropertiesImpl,Java,Networking and Messaging
std::io::{Error,Rust,File Handling
curses.h,C++,Graphical User Interface Design
org.apache.http.conn.ssl.NoopHostnameVerifier,Java,Security
com.mendix.systemwideinterfaces.core.IMendixObject,Java,Database Management
com.google.gson.JsonArray,Java,Data Serialization
java.net.http.HttpRequest,Java,Networking and Messaging
importlib,Python,Code Analysis and Linting
ibm.maximo.optimization.milp.solve.DispatchingInstance,Java,Algorithms and Data Structures
opentelemetry/trace/tracer.h,C++,Logging and Monitoring
fcntl,Python,File Handling
org.apache.thrift.protocol.TProtocol,Java,Networking and Messaging
com.ghgande.j2mod.modbus.ModbusException,Java,Testing
org.apache.parquet.hadoop.example.GroupWriteSupport,Java,Data Serialization
